player              : wins/total   wins       losses     rate       rate update  sigma     
CSA_JR_Chalmers     : 0.42         63         87         37         2020-10-01   -1.9      
CSA_A_Gracie        : 0.3          3          7          20         2021-01-24   -1.2      
CSA_R_W_Hanson      : 0.42         29         39         12         2021-01-09   -1.2      
CSA_R_Griffith      : 0.42         22         30         16         2021-01-10   -1.1      
CSA_T_Clingman      : 0.37         6          10         9          2021-01-21   -1.0      
CSA_B_M_Thomas      : 0.37         6          10         11         2020-10-28   -1.0      
CSA_H_Gray          : 0.43         24         31         31         2020-09-21   -0.9      
CSA_Crittenden      : 0.41         12         17         23         2021-01-01   -0.9      
CSA_E__VanDorn      : 0.4          8          12         8          2021-01-24   -0.8      
CSA_J_Archer        : 0.22         2          7          21         2021-01-24   -0.8      
CSA_S_Wood          : 0.43         16         21         31         2021-01-12   -0.8      
CSA_W_W_Allen       : 0.25         2          6          22         2021-01-24   -0.7      
CSA_E_Smith         : 0.48         158        170        13         2020-10-01   -0.6      
CSA_MS_Pasha        : 0.44         11         14         25         2021-01-24   -0.6      
CSA_J_Slaughter     : 0.25         1          3          28         2020-10-07   -0.5      
CSA_F_Gardner       : 0.0          0          1          37         2020-10-29   -0.5      
CSA_SB_Buckner      : 0.33         3          6          29         2021-01-29   -0.5      
CSA_Zollicoffer     : 0.33         3          6          25         2021-01-24   -0.5      
CSA_WP_Roberts      : 0.46         30         34         23         2020-11-29   -0.5      
CSA_WR_Cox_         : 0.44         8          10         27         2021-01-12   -0.4      
CSA_McCulloch       : 0.33         2          4          29         2020-12-06   -0.4      
CSA_HW_Mercer       : 0.33         2          4          23         2021-01-24   -0.4      
CSA_A_Clark__       : 0.47         28         31         12         2020-12-23   -0.3      
CSA_W_H_Wallace     : 0.46         13         15         5          2021-01-24   -0.3      
CSA_J_B_Kershaw     : 0.45         5          6          17         2020-10-12   -0.3      
CSA_JM_McIntosh     : 0.46         7          8          15         2021-01-19   -0.2      
CSA_WR_Cox          : 0.4          2          3          27         2021-01-12   -0.2      
CSA_U_S_Grant       : 0.47         10         11         24         2021-01-24   -0.2      
CSA_J_Wheeler       : 0.47         11         12         8          2020-10-01   -0.2      
CSA_J_Chesnut       : 0.48         16         17         8          2021-01-12   -0.1      
CSA_W_Walker_       : 0.5          1          1          23         2021-01-24   0.0       
CSA_RC_Gatlin       : 0.5          12         12         26         2021-01-03   0.0       
CSA_W_Steele_       : 0.0          0          0          0          2020-08-23   0.0       
CSA_GJ_Rains_       : 0.0          0          0          33         2020-10-07   0.0       
CSA_Longstreet      : 0.0          0          0          34         2020-10-29   0.0       
CSA_FR_Nicholls     : 0.0          0          0          21         2020-10-01   0.0       
CSA_H_Trapier       : 0.5          75         75         32         2020-10-01   0.0       
CSA_D_Weisiger      : 0.0          0          0          26         2020-10-07   0.0       
CSA_J_Dunovant      : 0.0          0          0          33         2020-10-27   0.0       
CSA_JO_Shelby       : 0.5          30         30         21         2020-10-01   0.0       
CSA_R_Bullock       : 0.5          15         15         6          2021-01-14   0.0       
CSA_C_Field         : 0.0          0          0          25         2020-10-01   0.0       
CSA_R_Tyler         : 0.0          0          0          24         2020-10-01   0.0       
CSA_R_Taylor        : 0.0          0          0          8          2020-10-01   0.0       
CSA_A_Carter        : 0.0          0          0          26         2020-10-01   0.0       
CSA_L_McLaws        : 0.0          0          0          14         2021-01-26   0.0       
